,brand,ram,storage,battery,charging,price
40,Xiaomi,8.0,256.0,5110.0,120.0,9690000.0
41,OPPO,12.0,512.0,5800.0,80.0,18490000.0
42,OPPO,8.0,256.0,5800.0,45.0,8790000.0
43,realme,8.0,128.0,5000.0,45.0,4190000.0
44,realme,6.0,128.0,5000.0,45.0,3690000.0
45,realme,8.0,256.0,5000.0,45.0,4990000.0
46,vivo,8.0,128.0,6500.0,44.0,6490000.0
47,vivo,8.0,256.0,6500.0,44.0,6990000.0
48,HONOR,4.0,128.0,5200.0,10.0,2790000.0
49,HONOR,4.0,64.0,5200.0,10.0,2190000.0
50,Samsung,12.0,256.0,4400.0,25.0,35690000.0
51,Samsung,12.0,512.0,4400.0,25.0,40290000.0
52,iPhone,8.0,256.0,4422.0,20.0,29990000.0
53,iPhone,8.0,512.0,4422.0,20.0,34990000.0
54,iPhone,8.0,1024.0,4422.0,20.0,39990000.0
55,Samsung,4.0,64.0,5000.0,25.0,2890000.0
56,Samsung,6.0,128.0,5000.0,25.0,3490000.0
57,Samsung,4.0,128.0,5000.0,25.0,3190000.0
58,iPhone,6.0,128.0,4383.0,20.0,19790000.0
59,iPhone,6.0,256.0,4383.0,20.0,22790000.0
60,iPhone,6.0,512.0,4383.0,20.0,28790000.0
61,Samsung,8.0,256.0,5000.0,25.0,6990000.0
62,Xiaomi,12.0,256.0,5240.0,90.0,21990000.0
63,Xiaomi,12.0,512.0,5240.0,90.0,22990000.0
64,Xiaomi,16.0,512.0,5410.0,90.0,32990000.0
65,OPPO,8.0,256.0,5800.0,45.0,6990000.0
66,OPPO,8.0,256.0,5800.0,45.0,8490000.0
67,OPPO,8.0,128.0,5000.0,45.0,5490000.0
68,OPPO,8.0,256.0,5000.0,45.0,5690000.0
69,OPPO,4.0,64.0,5100.0,45.0,3490000.0
70,OPPO,6.0,128.0,5100.0,45.0,4090000.0
71,OPPO,4.0,128.0,5100.0,45.0,3990000.0
72,realme,12.0,256.0,5000.0,80.0,9190000.0
73,vivo,12.0,256.0,5500.0,80.0,12990000.0
74,HONOR,4.0,64.0,5200.0,10.0,2490000.0
75,Samsung,6.0,128.0,5000.0,25.0,3190000.0
76,iPhone,6.0,128.0,3349.0,20.0,15990000.0
77,iPhone,6.0,256.0,3349.0,20.0,18990000.0
78,iPhone,6.0,512.0,4325.0,20.0,22990000.0
79,iPhone,6.0,128.0,3279.0,20.0,13490000.0
80,Samsung,8.0,256.0,4700.0,25.0,13990000.0
81,Samsung,8.0,128.0,4700.0,25.0,12990000.0
82,Samsung,8.0,128.0,5000.0,25.0,4990000.0
83,Samsung,8.0,256.0,4000.0,25.0,14590000.0
84,Xiaomi,12.0,256.0,5000.0,67.0,10990000.0
85,Xiaomi,12.0,512.0,5000.0,67.0,10990000.0
86,Xiaomi,12.0,512.0,5000.0,67.0,11190000.0
87,Xiaomi,12.0,256.0,5000.0,120.0,14490000.0
88,Xiaomi,12.0,512.0,5000.0,120.0,14490000.0
89,OPPO,8.0,128.0,5100.0,45.0,5290000.0
90,OPPO,6.0,128.0,5100.0,45.0,4590000.0
